timestamp_utc,销量,销量变化
2026-07-23T06:03:07.319032+00:00,244,
2026-07-23T08:02:07.441526+00:00,249,5
2026-07-23T12:12:37.287493+00:00,254,5
2026-07-23T14:35:26.724466+00:00,255,1
2026-07-23T16:13:00.027543+00:00,252,-3
2026-07-23T20:11:58.559879+00:00,263,11
2026-07-24T01:03:17.921434+00:00,264,1
2026-07-24T04:27:07.860863+00:00,289,25
2026-07-24T07:10:55.525310+00:00,294,5
2026-07-24T09:35:33.015459+00:00,299,5
2026-07-24T14:54:35.918062+00:00,298,-1
2026-07-24T16:43:04.028596+00:00,303,5
2026-07-24T21:58:52.069455+00:00,305,2
2026-07-24T23:10:53.883100+00:00,308,3
2026-07-25T03:43:32.877789+00:00,310,2
2026-07-25T06:06:58.131021+00:00,330,20
2026-07-25T18:35:19.227623+00:00,332,2
2026-07-26T04:47:21.742650+00:00,348,16
2026-07-26T07:27:56.893626+00:00,349,1
2026-07-26T14:03:01.696538+00:00,350,1
2026-07-26T16:17:23.401529+00:00,355,5
2026-07-26T21:43:57.403340+00:00,356,1
2026-07-26T23:44:57.661256+00:00,362,6
2026-07-27T05:05:57.037054+00:00,384,22
2026-07-27T08:45:42.202837+00:00,396,12
2026-07-27T12:00:55.913564+00:00,406,10
